Points_m_XYZ:0,Points_m_XYZ:1,Points_m_XYZ:2,intensity,laser_id,azimuth,distance_m,adjustedtime,timestamp
0.79135114,5.189674854,-0.059475623,12,11,867,5.25,874498967,874498967
-0.067412101,2.298405886,0.052786861,22,13,35832,2.3,874498973,874498973
0.384582877,6.147008896,0.109430991,15,14,358,6.16,874498976,874498976
0.724995017,4.694020271,0.055295143,2,15,878,4.75,874498979,874498979
-0.564248681,4.485373974,-0.289727658,2,20,35283,4.53,874498946,874498946
-0.076321229,2.253202438,-0.157649636,3,21,35806,2.26,874498949,874498949
0.36700958,6.141263008,-0.468073666,6,22,342,6.17,874498952,874498952
0.373412341,2.483731508,-0.205038458,2,23,855,2.52,874498955,874498955
-2.4614501,19.53923225,-0.802340508,7,24,35282,19.71,874498958,874498958
-0.074894339,2.306248426,-0.108207785,13,25,35814,2.31,874498961,874498961
0.362799972,6.070822716,-0.318725973,15,26,342,6.09,874498964,874498964
0.667824328,4.452567577,-0.262206972,12,27,853,4.51,874498967,874498967
-0.063364968,2.268500805,-0.052807327,3,29,35840,2.27,874498973,874498973
0.397772163,6.184597492,-0.180361316,13,30,368,6.2,874498976,874498976
0.622415304,3.979204655,-0.139386699,3,31,889,4.03,874498979,874498979
0.842850029,5.309549809,-0.605298877,2,1,902,5.41,874498987,874498987
0.696327984,4.886541367,0.201093957,9,2,811,4.94,874498990,874498990
-2.64026618,22.95952988,1.345918298,10,3,35344,23.15,874498993,874498993
0.921958923,6.110595226,0.500620127,17,4,858,6.2,874498996,874498996
-2.061467886,18.43649292,2.272039652,3,5,35362,18.69,874498999,874498999
0.920254052,6.049188137,1.117521882,13,6,865,6.22,874499002,874499002
-1.18314147,9.820063591,2.65030694,6,7,35313,10.24,874499005,874499005
-0.066550337,2.269024134,0,31,9,35832,2.27,874499011,874499011
0.393420309,6.167348385,-0.037848309,10,10,365,6.18,874499014,874499014
0.832265198,5.345248222,-0.061288211,7,11,885,5.41,874499017,874499017
-2.448523283,20.65658188,0.605374038,4,12,35324,20.81,874499020,874499020
-0.060191121,2.298606157,0.052786861,16,13,35850,2.3,874499023,874499023
0.404548019,6.155747414,0.109608643,15,14,376,6.17,874499026,874499026
0.632281423,4.010185242,0.047262799,3,15,896,4.06,874499029,874499029
-0.545296788,4.44750309,-0.287169367,2,20,35301,4.49,874498996,874498996
-0.068935834,2.243460178,-0.156952068,3,21,35824,2.25,874498999,874498999
0.386927158,6.15003109,-0.468832284,6,22,360,6.18,874499002,874499002
0.384238869,2.502249002,-0.206665754,2,23,873,2.54,874499005,874499005
-2.421972036,19.72537994,-0.809667766,5,24,35300,19.89,874499008,874499008
-0.067355841,2.29648757,-0.107739352,7,25,35832,2.3,874499011,874499011
0.38187021,6.069653034,-0.318725973,15,26,360,6.09,874499014,874499014
0.674250305,4.401107788,-0.259300023,11,27,871,4.46,874499017,874499017
-0.056237962,2.268688679,-0.052807327,2,29,35858,2.27,874499023,874499023
0.416526765,6.173344135,-0.180070415,13,30,386,6.19,874499026,874499026
0.630186856,3.947622538,-0.138349086,3,31,907,4,874499029,874499029
0.711676061,4.884329796,0.201093957,10,2,829,4.94,874499040,874499040
-3.237056255,28.95022964,1.696496606,20,3,35362,29.18,874499043,874499043
0.942669332,6.117519379,0.501427591,17,4,876,6.21,874499046,874499046
-2.006753683,18.47248268,2.275686502,3,5,35380,18.72,874499049,874499049
0.939253569,6.046267033,1.117521882,13,6,883,6.22,874499052,874499052
-1.151159763,9.814138412,2.647718906,6,7,35331,10.23,874499055,874499055
-2.45649004,20.75477982,0.121468998,4,8,35325,20.9,874499058,874499058
-0.058898132,2.249228954,0,24,9,35850,2.25,874499061,874499061
0.412793636,6.166081905,-0.037848309,10,10,383,6.18,874499064,874499064
0.649737895,4.088427544,-0.046900775,2,11,903,4.14,874499067,874499067
-2.509612799,21.756464,0.637373626,4,12,35342,21.91,874499070,874499070
-0.052508947,2.278794527,0.052327845,19,13,35868,2.28,874499073,874499073
0.423884839,6.154446125,0.109608643,15,14,394,6.17,874499076,874499076
0.635346413,3.948945045,0.046564333,3,15,914,4,874499079,874499079
-0.533688605,4.469012737,-0.288448513,2,20,35319,4.51,874499046,874499046
-0.061887469,2.243665695,-0.156952068,3,21,35842,2.25,874499049,874499049
0.406246126,6.148785114,-0.468832284,4,22,378,6.18,874499052,874499052
0.390554309,2.491182804,-0.205852106,2,23,891,2.53,874499055,874499055
-2.406265497,20.1198101,-0.825543642,5,24,35318,20.28,874499058,874499058
-0.060663853,2.316659212,-0.108676217,7,25,35850,2.32,874499061,874499061
0.400936663,6.068423271,-0.318725973,15,26,378,6.09,874499064,874499064
0.632533848,4.043894291,-0.238369986,4,27,889,4.1,874499067,874499067
-2.417339325,21.24968719,-0.37330696,4,28,35351,21.39,874499070,874499070
-0.048894055,2.258859396,-0.052574694,3,29,35876,2.26,874499073,874499073
0.436623037,6.181976318,-0.180361316,13,30,404,6.2,874499076,874499076
0.639372647,3.925895214,-0.137657344,3,31,925,3.98,874499079,874499079
0.249415681,1.509868622,-0.172303185,2,1,938,1.54,874499087,874499087
0.712300181,4.783242702,0.197023228,5,2,847,4.84,874499090,874499090
-3.14393425,28.9404068,1.695333838,25,3,35380,29.16,874499093,874499093
0.961883426,6.114527702,0.501427591,17,4,894,6.21,874499096,874499096
-1.949751854,18.48856544,2.276902199,3,5,35398,18.73,874499099,874499099
0.958243787,6.0432868,1.117521882,13,6,901,6.22,874499102,874499102
-1.119227052,9.808109283,2.645130634,6,7,35349,10.22,874499105,874499105
